date, pm25, pm10, o3, no2, so2, co
2023/12/24, 38, 24, 10, 2, 19, 2
2023/12/25, 50, 22, 8, 1, 26, 2
2023/12/26, 46, 27, 10, 3, 2, 6
2023/12/27, 44, 16, 11, 2, 2, 11
2023/12/28, 31, 21, 9, 3, 2, 14
2023/12/29, 40, 27, 9, 4, 4, 3
2023/12/30, 48, 21, 11, 2, 1, 3
2023/12/31, 31, 18, 9, 3, 1, 2
2024/1/1, 36, 25, 9, 2, 2, 4
2023/7/2, 129, 20, 16, 3, , 6
2023/7/3, 63, 20, 16, 3, , 4
2023/7/4, 53, 62, 18, 4, , 13
2023/7/5, 99, 61, 11, 9, 1, 13
2023/7/6, 144, 74, 14, 10, 4, 15
2023/7/7, 171, 37, 17, 6, , 11
2023/7/8, 95, 32, 19, 5, , 9
2023/7/9, 65, 67, 17, 7, 2, 16
2023/7/10, 149, 79, 12, 8, 1, 15
2023/7/11, 142, 59, 4, 9, 1, 12
2023/7/12, 146, 57, 13, 9, 3, 9
2023/7/13, 137, 66, 12, 9, 2, 10
2023/7/14, 163, 94, 11, 8, 6, 17
2023/7/15, 196, 71, 14, 8, 2, 13
2023/7/16, 168, 72, 14, 10, 3, 12
2023/7/17, 175, 128, 12, 9, 2, 21
2023/7/18, 218, 83, 7, 12, 2, 14
2023/7/19, 173, 42, 13, 8, 1, 9
